1: 424KT; Bid: 464
3: AAJ7A; Bid: 389
1: 22749; Bid: 401
1: 55237; Bid: 925
1: 46JJ3; Bid: 471
0: 97K65; Bid: 945
1: Q8K8J; Bid: 658
1: QJ2QA; Bid: 990
2: 99AAJ; Bid: 408
3: 6Q665; Bid: 181
3: 75AAA; Bid: 362
0: 65J84; Bid: 746
6: 76667; Bid: 391
1: 3735K; Bid: 421
2: 7QQ99; Bid: 235
4: K3333; Bid: 139
4: 44844; Bid: 759
1: Q8955; Bid: 395
2: 97972; Bid: 291
2: 6T68T; Bid: 794
2: 24A42; Bid: 56
1: 8262J; Bid: 706
3: 64442; Bid: 754
3: QQKJQ; Bid: 289
1: 7J62J; Bid: 394
4: 5T555; Bid: 288
1: 4K669; Bid: 997
0: J5Q9K; Bid: 378
4: 66663; Bid: 729
2: Q2233; Bid: 921
2: JJ557; Bid: 780
2: 3T43T; Bid: 809
3: 6K866; Bid: 937
2: 52527; Bid: 264
2: AAKJK; Bid: 516
4: KKKK3; Bid: 978
1: 92J2T; Bid: 541
1: T4248; Bid: 753
0: J746Q; Bid: 726
1: JJ36K; Bid: 969
0: 2QTA4; Bid: 49
2: J3JKK; Bid: 558
0: A6J7T; Bid: 405
2: AAT7T; Bid: 693
3: J8886; Bid: 688
2: Q49Q4; Bid: 370
1: 5258J; Bid: 187
1: 4A49J; Bid: 4
4: KKK5K; Bid: 992
3: 7555K; Bid: 110
0: 289K6; Bid: 638
2: 76J7J; Bid: 853
1: 4JTKJ; Bid: 775
2: KK2QQ; Bid: 958
1: 224Q3; Bid: 41
1: QAJ6A; Bid: 469
3: 3KJJJ; Bid: 866
4: 6666T; Bid: 128
3: 34944; Bid: 426
3: 55675; Bid: 137
4: 85888; Bid: 846
4: J8888; Bid: 462
0: K6A5J; Bid: 23
4: KKTKK; Bid: 30
0: 9T853; Bid: 111
3: 77479; Bid: 749
2: 86565; Bid: 487
1: 6K3JK; Bid: 82
4: 37333; Bid: 156
0: 572AK; Bid: 336
6: 33388; Bid: 8
3: 6T6K6; Bid: 747
3: 22K26; Bid: 133
3: K2K7K; Bid: 281
3: J999K; Bid: 429
2: Q7474; Bid: 202
4: AAAA8; Bid: 650
4: TT3TT; Bid: 171
4: 55855; Bid: 560
2: TKKJT; Bid: 495
0: J4TA8; Bid: 881
0: Q2J58; Bid: 203
3: 27767; Bid: 123
1: 4J8QJ; Bid: 499
3: 42KKK; Bid: 709
1: 29T9Q; Bid: 32
1: J2KKT; Bid: 224
4: 77778; Bid: 587
0: 4K26Q; Bid: 147
2: 6A4A4; Bid: 212
0: 43JTQ; Bid: 887
3: 53559; Bid: 704
2: 4ATT4; Bid: 605
1: 5T77Q; Bid: 113
2: KTTK6; Bid: 33
1: A6A32; Bid: 380
4: 333J3; Bid: 260
6: 99J9J; Bid: 931
0: A786K; Bid: 114
0: 74J25; Bid: 667
6: 98889; Bid: 973
4: 999J9; Bid: 529
1: 52KK6; Bid: 858
6: 55959; Bid: 720
3: AA2JA; Bid: 999
0: Q84AT; Bid: 550
3: AAAQJ; Bid: 660
3: 99T59; Bid: 266
1: K58K7; Bid: 445
2: J2525; Bid: 532
4: 999A9; Bid: 672
3: 2225J; Bid: 926
2: QKJQJ; Bid: 438
0: JKTQ7; Bid: 24
1: JQ929; Bid: 468
3: 989Q9; Bid: 97
3: 3JQQQ; Bid: 942
2: 4TT34; Bid: 271
2: J8QQ8; Bid: 475
3: 8666T; Bid: 989
0: 2T83Q; Bid: 422
1: J8J62; Bid: 397
0: 4369A; Bid: 831
2: ATAJT; Bid: 680
3: J3338; Bid: 493
6: 86668; Bid: 813
0: 36JAT; Bid: 874
3: KAK3K; Bid: 923
1: QKKA6; Bid: 580
3: 3J339; Bid: 624
2: 99676; Bid: 152
1: 42K84; Bid: 155
2: KAA7K; Bid: 682
4: QAQQQ; Bid: 486
3: 75747; Bid: 669
1: A37T7; Bid: 851
2: K6Q6K; Bid: 20
0: T792A; Bid: 61
1: 33654; Bid: 879
3: 555J2; Bid: 417
3: AA9A5; Bid: 209
1: TK65K; Bid: 368
4: 42222; Bid: 951
6: QQ666; Bid: 970
3: 6444J; Bid: 44
1: 6JJA5; Bid: 190
2: 4K4KT; Bid: 489
6: 2T2TT; Bid: 27
4: 6A666; Bid: 986
3: 35J55; Bid: 962
2: AA277; Bid: 817
1: 5K4J5; Bid: 55
1: 93AJ9; Bid: 237
4: 8888Q; Bid: 824
3: 57355; Bid: 39
1: 22QA4; Bid: 150
0: 3572A; Bid: 361
0: 295A8; Bid: 889
0: A63K7; Bid: 842
1: 8AJ8T; Bid: 244
2: A8778; Bid: 538
6: A77A7; Bid: 83
1: T8559; Bid: 89
6: TT999; Bid: 480
3: K7JKK; Bid: 562
2: 3A3A8; Bid: 677
2: 9J6J6; Bid: 523
0: T2684; Bid: 470
0: 8J6Q4; Bid: 698
0: 83T5Q; Bid: 761
1: 88AJ7; Bid: 26
1: 54J43; Bid: 383
2: 86J68; Bid: 301
1: TQ443; Bid: 107
3: 8AAKA; Bid: 255
1: QJK7K; Bid: 670
1: 2QQ9J; Bid: 201
1: 34674; Bid: 839
2: 3232J; Bid: 905
2: 8A82A; Bid: 5
3: 89K88; Bid: 519
3: 83666; Bid: 338
1: A2382; Bid: 772
2: 858J5; Bid: 583
0: 8AK92; Bid: 651
0: K58T7; Bid: 930
3: 55AJ5; Bid: 170
2: 77288; Bid: 891
0: KA57T; Bid: 14
2: JQ8QJ; Bid: 329
6: QQ88Q; Bid: 929
0: 48573; Bid: 279
2: 4K4KJ; Bid: 980
0: 46Q7A; Bid: 601
1: 79J89; Bid: 267
3: 9T994; Bid: 402
0: 27T9K; Bid: 800
6: 36363; Bid: 822
1: 83486; Bid: 769
0: 723QT; Bid: 112
1: 84794; Bid: 236
6: 2Q22Q; Bid: 691
4: 98888; Bid: 213
2: AKKA9; Bid: 872
1: A57K5; Bid: 365
0: 27K34; Bid: 100
6: 555QQ; Bid: 565
6: 5KK55; Bid: 299
0: 6Q345; Bid: 360
1: 7JQAA; Bid: 512
1: A8434; Bid: 211
0: TKA93; Bid: 503
4: 93333; Bid: 463
4: AJAAA; Bid: 146
2: 996Q6; Bid: 263
4: 88838; Bid: 501
3: KK56K; Bid: 971
1: K24T2; Bid: 330
3: J3888; Bid: 473
0: KA968; Bid: 127
1: 5466J; Bid: 700
1: A9893; Bid: 268
1: K7J78; Bid: 666
3: 44Q54; Bid: 312
1: K3QTQ; Bid: 984
1: 6JQA6; Bid: 778
0: Q2764; Bid: 938
2: A99AK; Bid: 481
2: A77JA; Bid: 802
3: 38868; Bid: 679
2: 4KK34; Bid: 300
6: 66KK6; Bid: 318
2: AA626; Bid: 674
1: 7738J; Bid: 449
6: JTJTJ; Bid: 859
2: T8TJ8; Bid: 93
3: 96K99; Bid: 574
2: 77339; Bid: 349
1: T7QAQ; Bid: 534
0: 95384; Bid: 342
6: 62226; Bid: 950
1: 3JQA3; Bid: 298
2: 9A9A7; Bid: 488
1: 87JT7; Bid: 559
4: 88688; Bid: 518
0: 526KQ; Bid: 188
6: 8K8K8; Bid: 756
6: 7JJ77; Bid: 490
1: J3KAK; Bid: 785
1: J4733; Bid: 153
2: 42T24; Bid: 977
3: 2QQ5Q; Bid: 280
0: Q49A3; Bid: 768
0: 98JT6; Bid: 911
4: T3333; Bid: 193
3: ATKTT; Bid: 91
0: 2785Q; Bid: 949
4: QQQJQ; Bid: 811
0: T8K4Q; Bid: 547
6: K66KK; Bid: 446
1: 22JK9; Bid: 634
3: 224J2; Bid: 776
3: 5QQQ4; Bid: 614
1: 2T2KJ; Bid: 755
0: 4Q7T9; Bid: 979
1: J3T77; Bid: 974
0: 7J259; Bid: 206
0: A458K; Bid: 627
1: A89AJ; Bid: 248
6: JJJ99; Bid: 893
0: A3862; Bid: 377
2: 4J4AJ; Bid: 40
2: TA7T7; Bid: 663
1: 4K4T6; Bid: 664
4: TT6TT; Bid: 988
0: J6583; Bid: 126
3: TA4TT; Bid: 791
3: 44457; Bid: 696
1: T72JJ; Bid: 269
6: A22A2; Bid: 553
6: J7JJ7; Bid: 654
2: 2J7J7; Bid: 903
0: 795KA; Bid: 191
1: 2445T; Bid: 912
1: 9553Q; Bid: 195
1: KK74J; Bid: 328
6: 55335; Bid: 399
